"","gene_short_name","term","q_value","normalized_effect"
"343","AC010976.1","tissueLP",1,0.529038239471545
"344","AC010978.1","tissueLP",1,-0.0221227451795591
"345","AC011246.1","tissueLP",1,0.0595056865974222
"346","AC011247.1","tissueLP",1,-0.0864626453595171
"347","AC011287.1","tissueLP",0.0371807795210418,-1.62986259885668
"348","AC011313.1","tissueLP",1,-0.0843814837194274
"349","AC011346.1","tissueLP",0.308102207679328,-1.14002267927514
"350","AC011444.1","tissueLP",1,0.118816796989229
"351","AC011444.3","tissueLP",1,-0.0668862695144567
"352","AC011445.1","tissueLP",0.000173238759933582,2.4157039265066e-11
"353","AC011446.2","tissueLP",0.00082200501171561,-0.715234336037103
"354","AC011446.3","tissueLP",1,-0.379804465275277
"355","AC011447.3","tissueLP",3.60921482682455e-05,-0.835528598891634
"356","AC011450.1","tissueLP",0.0021118875118935,-0.712352439799853
"357","AC011462.5","tissueLP",1,-0.510198947512676
"358","AC011468.5","tissueLP",1,-0.57633115094148
"359","AC011476.3","tissueLP",1,-0.300901929413793
"360","AC011491.3","tissueLP",0.865494773131405,-0.885534333183771
"361","AC011498.1","tissueLP",1,-0.261600099008303
"362","AC011511.2","tissueLP",1,-0.392991577937637
"363","AC011603.2","tissueLP",6.01626703398573e-17,0.750761426158746
"364","AC011611.3","tissueLP",1,0.0535389867863263
"365","AC011825.4","tissueLP",0.492316839687118,-0.584952441603968
"366","AC011933.4","tissueLP",1,0.421355754379358
"367","AC011997.1","tissueLP",1,-0.37476003649514
"368","AC011997.2","tissueLP",1,0.576539038138195
"369","AC012063.1","tissueLP",0.422500017599097,-0.527471912056889
"370","AC012146.1","tissueLP",1,-0.391424374494394
"371","AC012150.1","tissueLP",1,-0.62489434439901
"372","AC012184.3","tissueLP",0.0245651765903747,-0.645822377019171
"373","AC012291.3","tissueLP",1,-0.385583825180979
"374","AC012306.2","tissueLP",1,-0.0143362355132685
"375","AC012307.1","tissueLP",1,-0.995554068035963
"376","AC012313.1","tissueLP",1,-0.553583461635186
"377","AC012313.6","tissueLP",1,-0.022698399931387
"378","AC012313.7","tissueLP",1,-0.0428075755054061
"379","AC012358.3","tissueLP",4.1038374055432e-05,-0.810260432893719
