,Gene stable ID,Gene name_mart,Used by 10X,ultimate_gene_name
68547,ENSG00000257767,,,ENSG00000257767
68548,ENSG00000111275,ALDH2,True,ALDH2
68549,ENSG00000289250,,,ENSG00000289250
68550,ENSG00000248736,,True,AC094105.2
68551,ENSG00000200550,RNU6-137P,,RNU6-137P
68552,ENSG00000162882,HAAO,True,HAAO
68553,ENSG00000289499,,,ENSG00000289499
68554,ENSG00000134333,LDHA,True,LDHA
68555,ENSG00000310143,,,ENSG00000310143
68556,ENSG00000307615,,,ENSG00000307615
68557,ENSG00000249740,OSMR-DT,True,OSMR-DT
68558,ENSG00000085998,POMGNT1,True,POMGNT1
68559,ENSG00000307626,,,ENSG00000307626
68560,ENSG00000307634,,,ENSG00000307634
68561,ENSG00000307643,,,ENSG00000307643
68562,ENSG00000307665,,,ENSG00000307665
68563,ENSG00000307671,,,ENSG00000307671
68564,ENSG00000226803,ZNF451-AS1,True,ZNF451-AS1
68565,ENSG00000226491,FTOP1,,FTOP1
68566,ENSG00000232202,CHORDC1P1,,CHORDC1P1
68567,ENSG00000162881,OXER1,True,OXER1
68568,ENSG00000292259,,,ENSG00000292259
68569,ENSG00000235653,,,ENSG00000235653
68570,ENSG00000189079,ARID2,True,ARID2
68571,ENSG00000289013,,,ENSG00000289013
68572,ENSG00000285898,,True,AC007317.1
68573,ENSG00000231331,,,ENSG00000231331
68574,ENSG00000232594,,,ENSG00000232594
68575,ENSG00000233105,,,ENSG00000233105
68576,ENSG00000224585,,,ENSG00000224585
68577,ENSG00000233447,,,ENSG00000233447
68578,ENSG00000235186,,,ENSG00000235186
68579,ENSG00000277591,RN7SL575P,,RN7SL575P
68580,ENSG00000172005,MAL,True,MAL
68581,ENSG00000307681,,,ENSG00000307681
68582,ENSG00000307695,,,ENSG00000307695
68583,ENSG00000307717,,,ENSG00000307717
68584,ENSG00000307732,,,ENSG00000307732
68585,ENSG00000231150,DNAH8-AS1,True,DNAH8-AS1
68586,ENSG00000307751,,,ENSG00000307751
68587,ENSG00000307789,,,ENSG00000307789
68588,ENSG00000307801,,,ENSG00000307801
68589,ENSG00000203808,BVES-AS1,True,BVES-AS1
68590,ENSG00000275111,ZNF2,True,ZNF2
68591,ENSG00000251371,,True,AC010634.1
68592,ENSG00000310176,,,ENSG00000310176
68593,ENSG00000249941,,True,AC026415.1
68594,ENSG00000240230,COX19,True,COX19
68595,ENSG00000280103,,,ENSG00000280103
68596,ENSG00000310199,,,ENSG00000310199
68597,ENSG00000279599,,,ENSG00000279599
68598,ENSG00000095932,SMIM24,True,SMIM24
68599,ENSG00000249521,LINC02114,True,LINC02114
68600,ENSG00000288758,,,ENSG00000288758
68601,ENSG00000249881,,True,AC008696.2
68602,ENSG00000310234,,,ENSG00000310234
68603,ENSG00000284638,SMIM44,True,SMIM44
68604,ENSG00000310256,,,ENSG00000310256
68605,ENSG00000269807,,True,AC007292.3
68606,ENSG00000269318,,True,AC007292.2
68607,ENSG00000267980,,True,AC007292.1
68608,ENSG00000310258,,,ENSG00000310258
68609,ENSG00000267255,,True,AC011498.3
68610,ENSG00000310288,,,ENSG00000310288
68611,ENSG00000267030,,True,AC011498.2
68612,ENSG00000275768,SLC2AXP1,,SLC2AXP1
68613,ENSG00000267769,,True,AC011498.6
68614,ENSG00000073067,CYP2W1,True,CYP2W1
68615,ENSG00000288912,,,ENSG00000288912
68616,ENSG00000266994,,,ENSG00000266994
68617,ENSG00000167680,SEMA6B,True,SEMA6B
68618,ENSG00000155066,PROM2,True,PROM2
68619,ENSG00000286062,,True,AC092353.2
68620,ENSG00000166246,DNAAF8,True,DNAAF8
68621,ENSG00000133687,TMTC1,True,TMTC1
68622,ENSG00000251680,,True,AC008591.1
68623,ENSG00000310358,,,ENSG00000310358
68624,ENSG00000250453,,True,AC008825.1
68625,ENSG00000146540,C7orf50,True,C7orf50
68626,ENSG00000103199,ZNF500,True,ZNF500
68627,ENSG00000229178,,True,AC233280.1
68628,ENSG00000215837,SDHAP2,,SDHAP2_ENSG00000215837
68629,ENSG00000310377,,,ENSG00000310377
68630,ENSG00000207650,MIR570,,MIR570
68631,ENSG00000283426,SMBD1P,,SMBD1P
68632,ENSG00000176945,MUC20,True,MUC20
68633,ENSG00000259786,LINC02109,True,LINC02109
68634,ENSG00000307808,,,ENSG00000307808
68635,ENSG00000172519,OR10H5,True,OR10H5
68636,ENSG00000276096,Metazoa_SRP,,Metazoa_SRP_ENSG00000276096
68637,ENSG00000307816,,,ENSG00000307816
68638,ENSG00000140623,SEPTIN12,True,SEPTIN12
68639,ENSG00000186115,CYP4F2,True,CYP4F2
68640,ENSG00000145113,MUC4,True,MUC4
68641,ENSG00000270828,,True,AL023806.2
68642,ENSG00000307823,,,ENSG00000307823
68643,ENSG00000307828,,,ENSG00000307828
68644,ENSG00000307837,,,ENSG00000307837
68645,ENSG00000199023,MIR339,,MIR339
68646,ENSG00000225146,,True,AC073957.1
68647,ENSG00000307841,,,ENSG00000307841
68648,ENSG00000288551,,,ENSG00000288551
68649,ENSG00000164849,GPR146,True,GPR146
68650,ENSG00000250517,LDHAL6CP,,LDHAL6CP
68651,ENSG00000310420,,,ENSG00000310420
68652,ENSG00000307849,,,ENSG00000307849
68653,ENSG00000293081,,,ENSG00000293081
68654,ENSG00000310427,,,ENSG00000310427
68655,ENSG00000307858,,,ENSG00000307858
68656,ENSG00000258230,,,ENSG00000258230
68657,ENSG00000310451,,,ENSG00000310451
68658,ENSG00000293094,,,ENSG00000293094
68659,ENSG00000251293,,True,AC008574.1
68660,ENSG00000258128,MKRN9P,,MKRN9P
68661,ENSG00000307859,,,ENSG00000307859
68662,ENSG00000215231,LINC01020,True,LINC01020
68663,ENSG00000227825,SLC9A7P1,,SLC9A7P1_ENSG00000227825
68664,ENSG00000240370,RPL13P5,,RPL13P5
68665,ENSG00000257607,,True,AC073957.2
68666,ENSG00000293161,,,ENSG00000293161
68667,ENSG00000307877,,,ENSG00000307877
68668,ENSG00000224079,,True,AC091729.1
68669,ENSG00000307896,,,ENSG00000307896
68670,ENSG00000226291,,True,AC091729.2
68671,ENSG00000307907,,,ENSG00000307907
68672,ENSG00000307913,,,ENSG00000307913
68673,ENSG00000164850,GPER1,True,GPER1
68674,ENSG00000307919,,,ENSG00000307919
68675,ENSG00000213970,,,ENSG00000213970
68676,ENSG00000307923,,,ENSG00000307923
68677,ENSG00000258679,,,ENSG00000258679
68678,ENSG00000307971,,,ENSG00000307971
68679,ENSG00000293169,,,ENSG00000293169
68680,ENSG00000230309,,True,AL121718.1
68681,ENSG00000240399,,,ENSG00000240399
68682,ENSG00000241749,RPSAP52,,RPSAP52_ENSG00000241749
68683,ENSG00000241129,RPL22P19,,RPL22P19
68684,ENSG00000293207,,,ENSG00000293207
68685,ENSG00000216306,KRT19P2,,KRT19P2_ENSG00000216306
68686,ENSG00000293230,KRT19P2,,KRT19P2_ENSG00000293230
68687,ENSG00000197376,,,ENSG00000197376
68688,ENSG00000183935,HTR7P1,,HTR7P1_ENSG00000183935
68689,ENSG00000178381,ZFAND2A,True,ZFAND2A
68690,ENSG00000257129,,,ENSG00000257129
68691,ENSG00000127663,KDM4B,True,KDM4B
68692,ENSG00000257246,PHB1P19,,PHB1P19
68693,ENSG00000293248,,,ENSG00000293248
68694,ENSG00000308036,,,ENSG00000308036
68695,ENSG00000244573,RPL30P11,,RPL30P11
68696,ENSG00000249776,,True,AC124854.1
68697,ENSG00000308037,,,ENSG00000308037
68698,ENSG00000243024,,,ENSG00000243024
68699,ENSG00000235129,FABP7P2,,FABP7P2_ENSG00000235129
68700,ENSG00000285952,,,ENSG00000285952
68701,ENSG00000257150,PGAM1P5,,PGAM1P5_ENSG00000257150
68702,ENSG00000308061,,,ENSG00000308061
68703,ENSG00000256682,TAS2R12P,,TAS2R12P_ENSG00000256682
