,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
1901,2767,MTHFSD,ENSG00000103248,0.0018395870923995973,0.0897322955571443,0.3253091058635589,5,0
8397,13597,ALG10B,ENSG00000175548,0.001837438593308131,0.04792410671862729,0.21990154699633602,6,0
4677,7066,TTLL4,ENSG00000135912,0.001837126910686493,0.10366625821243569,0.3542405613074328,4,0
2973,4385,FANCL,ENSG00000115392,0.0018305530150731404,0.05473699708118388,0.24010701520523922,6,0
10296,17860,HXKR9,ENSG00000221947,0.00182294100522995,0.09597228443302752,0.3374600679768991,4,0
9731,16610,ZNF677,ENSG00000197928,0.0018187910318374634,0.3997625413899132,0.7064282872480137,1,0
7601,12048,IFT139A,ENSG00000168026,0.001818742070879255,0.06672042307312,0.27340592006433584,7,0
6814,10619,C1ORF59,ENSG00000162639,0.0018121122437364915,0.008648899620878057,0.06534182755829562,17,0
3814,5695,GASP5,ENSG00000125962,0.0018084384500980377,0.1294072508209345,0.4031013318254893,6,0
4610,6957,PRR5L,ENSG00000135362,0.0018016621470451355,0.27372074504404575,0.595753877650268,5,0
2620,3844,GSG1,ENSG00000111305,0.0018016086781726165,0.01332140324552123,0.0896000087886845,17,0
1903,2769,HAGHL,ENSG00000103253,0.0017932523041963577,0.046136168656910746,0.21477851569394624,12,0
10139,17482,SLC48A1,ENSG00000211584,0.0017902577916781108,0.15766697365773363,0.446882772364641,3,0
247,382,WWTR1,ENSG00000018408,0.0017900243401527405,0.04671403219164773,0.21638520611053402,9,0
9409,15962,P51NOX,ENSG00000188747,0.0017830580472946167,0.4084073574996413,0.7135947494118776,1,0
9955,17023,MAR8A,ENSG00000203950,0.001780762958029906,0.010648847722956784,0.0759580042366226,24,0
9937,16958,RORBETA,ENSG00000198963,0.0017801957825819652,0.07843814099240394,0.30204033616888354,6,0
10082,17326,SAP25,ENSG00000205307,0.0017770311007132898,0.17269174489424655,0.4680740371969371,13,0
3139,4618,ZNF684,ENSG00000117010,0.00177500918507576,0.054767138908204734,0.24010701520523922,10,0
6224,9617,RHABDO1,ENSG00000154358,0.0017729271203279495,0.33078582240722165,0.6493708972758802,8,0
5736,8762,PERQ1,ENSG00000146830,0.0017725884130126552,0.008297493170375038,0.06331117121748464,19,0
4850,7319,ZNF193,ENSG00000137185,0.0017652623355388641,0.07576802593848248,0.2954634141082344,6,0
3977,5943,APOBEC3F,ENSG00000128394,0.0017639784251942353,0.05131476767098177,0.22931935477695783,17,0
4104,6165,BSVD3,ENSG00000130309,0.0017625391483306885,0.01028528559504328,0.074060247949734,17,0
