standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
SHPRH,8724,BA545I5.2,ENSG00000146414,0.0001321799796203,0.5102575482430837,0.8591641172419704,29,0,0.06592386945786619
NDC1,793,NDC1,ENSG00000058804,0.0001321613788604,0.3273470768169451,0.7585749068880622,20,0,0.12000152754450177
LARP1,9728,LHP1,ENSG00000155506,0.0001321389029423,0.4419691282684789,0.8278164281675366,60,0,0.08206595919677837
CFLAR,42,CFLAR,ENSG00000003402,0.0001320880512858,0.187477308195552,0.6309699908283863,172,0,0.19999129547465533
ERH,2346,ERH,ENSG00000100632,0.0001320785709789,0.4565709699245737,0.8321913299151397,91,0,0.07977681316410844
TMEM248,3308,TMEM248,ENSG00000106609,0.0001318286173045,0.2652269251555571,0.7155475263899923,80,0,0.14536151527466193
NFKB1,3623,NFKB1,ENSG00000109320,0.0001312219945516,0.0384794457580701,0.2961135351932534,217,0,0.5285417407856643
TIGD2,14343,HEL106,ENSG00000180346,0.0001310606797536,0.6710592610861128,0.9221353126575416,6,0,0.035205346594190126
ATP2B4,789,PMCA4X,ENSG00000058668,0.0001308847456536,0.4124917130301224,0.8156262401509946,94,0,0.08850881064099761
PNRC2,16074,PNRC2,ENSG00000189266,0.0001305469870567,0.0550910124811544,0.355733404819112,150,0,0.44887535087429864
USP19,12953,ZMYND9,ENSG00000172046,0.0001304062704245,0.710738437553776,0.9321649056305632,6,0,0.03050725151917292
SFT2D1,16875,SFT2D1,ENSG00000198818,0.0001299793521563,0.5375950993853365,0.8700408361896489,30,0,0.06046036288067221
