standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
DNAL1,4887,C14ORF168,ENSG00000119661,0.0013080656528472,0.4909752920728537,0.7664510791265584,5,0,0.11551555997909822
C19orf73,17850,C19ORF73,ENSG00000221916,0.0013080202043056,0.4702696745484057,0.7534586990931893,8,0,0.12294054858825974
SBF2,6696,CMT4B2,ENSG00000133812,0.001306871522446,0.0844404500632906,0.3132222998710703,49,0,0.5041473259046652
POLR2I,3043,RPB9,ENSG00000105258,0.0013068462863112,0.0515963008448401,0.2286076895934601,66,0,0.6409091654899864
ACAD10,3839,ACAD10,ENSG00000111271,0.0013067703694105,0.34953189655797,0.6624493723108587,8,0,0.17884730707597693
NEIL2,9614,NEI2,ENSG00000154328,0.0013056943813959,0.7282509838381206,0.8914962217183257,3,0,0.049880493083533366
MAN2A2,16256,MAN2A2,ENSG00000196547,0.0013048094697296,0.1529040345134332,0.4389912528934799,16,0,0.35754413319282324
VPS18,2859,PEP3,ENSG00000104142,0.0013047769665718,0.5269987264232735,0.7896501135115204,5,0,0.10256529786260513
ANKRD26,3439,BA145E8.1,ENSG00000107890,0.0013044650355974,0.2885553711205273,0.609254627233779,15,0,0.2152011637034098
TM7SF3,870,TM7SF3,ENSG00000064115,0.0013041094773345,0.2029726840494431,0.512269887582639,36,0,0.2905011722147319
PRDM11,392,PRDM11,ENSG00000019485,0.0013039745390415,0.4081542204577179,0.7088750481481838,4,0,0.14943031020781078
ZNF154,14276,PHZ-92,ENSG00000179909,0.0013039665562765,0.3099249129796729,0.6293109391542127,7,0,0.2011347189548505
MMP24,5697,MT-MMP 5,ENSG00000125966,0.001303881406784,0.3057285869058458,0.6266438318500589,9,0,0.20297923079991909
SMIM7,17637,C19ORF42,ENSG00000214046,0.0013037234544754,0.0308298042593272,0.1621581417856382,50,0,0.7900612409854189
MTA1,14769,MTA1,ENSG00000182979,0.0013022422790527,0.3109341416680086,0.6306427505914212,10,0,0.20021659223600216
