Gene stable ID,Transcript stable ID,Gene name,Transcript name
ENSG00000303221,ENST00000792880,,
ENSG00000303221,ENST00000792881,,
ENSG00000303221,ENST00000792882,,
ENSG00000303221,ENST00000792883,,
ENSG00000303221,ENST00000792884,,
ENSG00000303221,ENST00000792885,,
ENSG00000303221,ENST00000792886,,
ENSG00000303221,ENST00000792887,,
ENSG00000303221,ENST00000792888,,
ENSG00000303221,ENST00000792889,,
ENSG00000303221,ENST00000792890,,
ENSG00000303221,ENST00000792891,,
ENSG00000303221,ENST00000792892,,
ENSG00000303221,ENST00000792893,,
ENSG00000303221,ENST00000792894,,
ENSG00000303221,ENST00000793223,,
ENSG00000306744,ENST00000820642,,
ENSG00000306767,ENST00000820894,,
ENSG00000306767,ENST00000820895,,
ENSG00000308844,ENST00000836772,,
ENSG00000278793,ENST00000616468,U6,U6.91-201
ENSG00000298861,ENST00000758506,,
ENSG00000298861,ENST00000758507,,
ENSG00000298861,ENST00000758508,,
ENSG00000298861,ENST00000758509,,
ENSG00000298861,ENST00000758510,,
ENSG00000298861,ENST00000758511,,
ENSG00000298861,ENST00000758512,,
ENSG00000308643,ENST00000835512,,
ENSG00000303875,ENST00000797768,,
ENSG00000303892,ENST00000797914,,
ENSG00000303892,ENST00000797915,,
ENSG00000303912,ENST00000798064,,
ENSG00000308185,ENST00000832155,,
ENSG00000308185,ENST00000832156,,
ENSG00000308185,ENST00000832157,,
ENSG00000308185,ENST00000832158,,
ENSG00000308185,ENST00000832159,,
ENSG00000308185,ENST00000832160,,
ENSG00000308185,ENST00000832161,,
ENSG00000308185,ENST00000832162,,
ENSG00000308185,ENST00000832163,,
ENSG00000308185,ENST00000832164,,
ENSG00000308185,ENST00000832165,,
ENSG00000308185,ENST00000832166,,
ENSG00000308185,ENST00000832167,,
ENSG00000308185,ENST00000832168,,
ENSG00000308185,ENST00000832169,,
ENSG00000308185,ENST00000832170,,
ENSG00000308185,ENST00000832171,,
ENSG00000308185,ENST00000832172,,
ENSG00000308185,ENST00000832173,,
ENSG00000308185,ENST00000832174,,
ENSG00000308185,ENST00000832175,,
ENSG00000308185,ENST00000832176,,
ENSG00000308185,ENST00000832177,,
ENSG00000308185,ENST00000832178,,
ENSG00000308185,ENST00000832179,,
ENSG00000308185,ENST00000832180,,
ENSG00000308185,ENST00000832181,,
ENSG00000308185,ENST00000832182,,
ENSG00000308185,ENST00000832183,,
ENSG00000308185,ENST00000832184,,
ENSG00000308185,ENST00000832185,,
ENSG00000308185,ENST00000832186,,
ENSG00000308185,ENST00000832187,,
ENSG00000308185,ENST00000832188,,
ENSG00000308185,ENST00000832189,,
ENSG00000308185,ENST00000832190,,
ENSG00000308185,ENST00000832191,,
ENSG00000308185,ENST00000832192,,
ENSG00000308185,ENST00000832193,,
ENSG00000308185,ENST00000832194,,
ENSG00000308185,ENST00000832195,,
ENSG00000308185,ENST00000832196,,
ENSG00000308185,ENST00000832197,,
ENSG00000308185,ENST00000832198,,
ENSG00000308185,ENST00000832199,,
ENSG00000308185,ENST00000832200,,
ENSG00000308185,ENST00000832201,,
ENSG00000308185,ENST00000832202,,
ENSG00000308185,ENST00000832203,,
ENSG00000308185,ENST00000832204,,
ENSG00000308185,ENST00000832205,,
ENSG00000308185,ENST00000832206,,
ENSG00000308185,ENST00000832207,,
ENSG00000308185,ENST00000832208,,
ENSG00000308185,ENST00000832209,,
ENSG00000308185,ENST00000832210,,
ENSG00000308185,ENST00000832211,,
ENSG00000308185,ENST00000832212,,
ENSG00000308185,ENST00000832213,,
ENSG00000308185,ENST00000832214,,
ENSG00000308185,ENST00000832215,,
ENSG00000308185,ENST00000832216,,
ENSG00000308185,ENST00000832217,,
ENSG00000308185,ENST00000832218,,
ENSG00000308185,ENST00000832219,,
